;name;categories;address;cc;city;country;crossStreet;distance;formattedAddress;labeledLatLngs;lat;lng;neighborhood;postalCode;state;id
133;Don Giovanni;Italian Restaurant;Homesdale road;GB;Bromley;United Kingdom;;1330;['Homesdale road', 'Bromley', 'Greater London', 'United Kingdom'];[{'label': 'display', 'lat': 51.39891850599096, 'lng': 0.03197674558617957}];5.139.891.850.599.090;0.03197674558617957;;;Greater London;4bc1ad0a2a89ef3b329ef288
134;Happy Garden;Chinese Restaurant;169 Homesdale Road;GB;Bromley;United Kingdom;;1335;['169 Homesdale Road', 'Bromley', 'Greater London', 'BR1 2 QL', 'United Kingdom'];[{'label': 'display', 'lat': 51.39902492675866, 'lng': 0.031830217971152104}];5.139.902.492.675.860;0.031830217971152104;;BR1 2 QL;Greater London;4ca130d73244b21a6a843903
135;Homesdale Tandoori;Indian Restaurant;28 Homesdale Rd.;GB;Bromley;United Kingdom;;1336;['28 Homesdale Rd.', 'Bromley', 'Greater London', 'BR2 9LD', 'United Kingdom'];[{'label': 'display', 'lat': 51.39904921567902, 'lng': 0.031783879023293875}];5.139.904.921.567.900;0.031783879023293875;;BR2 9LD;Greater London;4bc5590f5935c9b63fe1a5d2
137;Ginger;Indian Restaurant;1-47 Station App;GB;Bromley;United Kingdom;;1514;['1-47 Station App', 'Bromley', 'Greater London', 'BR 2 7', 'United Kingdom'];[{'label': 'display', 'lat': 51.377003284889625, 'lng': 0.010918583562060408}];51.377.003.284.889.600;0.010918583562060408;;BR 2 7;Greater London;4cb35da939458cfac3e519a0
141;Ristorante Pizzeria Sapore Vero;Italian Restaurant;78 High St;GB;Beckenham;United Kingdom;;684;['78 High St', 'Beckenham', 'Greater London', 'BR3 1ED', 'United Kingdom'];[{'label': 'display', 'lat': 51.408287573314965, 'lng': -0.025250561443221246}];51.408.287.573.314.900;-0.025250561443221246;;BR3 1ED;Greater London;50dc967ee4b0cc60e4d02c62
143;Q Bar and Kitchen;Mediterranean Restaurant;159 High St;GB;Beckenham;United Kingdom;;406;['159 High St', 'Beckenham', 'Greater London', 'BR3 1AE', 'United Kingdom'];[{'label': 'display', 'lat': 51.406523950791836, 'lng': -0.028859079120635674}];51.406.523.950.791.800;-0.028859079120635674;;BR3 1AE;Greater London;535aba37498ec83eb551668b
145;Big Catch;Fish & Chips Shop;202-204 High St;GB;Beckenham;United Kingdom;;449;['202-204 High St', 'Beckenham', 'Greater London', 'BR3 1EN', 'United Kingdom'];[{'label': 'display', 'lat': 51.406781675057275, 'lng': -0.028081309501932217}];51.406.781.675.057.200;-0.028081309501932217;;BR3 1EN;Greater London;4bad1038f964a520dd293be3
148;Wild Mango;Indian Restaurant;243 High St;GB;Beckenham;United Kingdom;;441;['243 High St', 'Beckenham', 'Greater London', 'BR3 1BN', 'United Kingdom'];[{'label': 'display', 'lat': 51.40678220171422, 'lng': -0.03197193145751953}];5.140.678.220.171.420;-0.03197193145751953;;BR3 1BN;Greater London;52680360498ec692ed07103d
150;Hisar Meze Bar;Mediterranean Restaurant;251 High St;GB;Beckenham;United Kingdom;;456;['251 High St', 'Beckenham', 'Greater London', 'BR3 1BN', 'United Kingdom'];[{'label': 'display', 'lat': 51.40688596097687, 'lng': -0.03217159505236191}];5.140.688.596.097.680;-0.03217159505236191;;BR3 1BN;Greater London;522325f6498eba5720a4da4f
153;Chai Naasto;Indian Restaurant;Fairfield Rd;GB;Beckenham;United Kingdom;;531;['Fairfield Rd', 'Beckenham', 'Greater London', 'BR3 3LD', 'United Kingdom'];[{'label': 'display', 'lat': 51.407298, 'lng': -0.02696}];51.407.298;-0.02696;;BR3 3LD;Greater London;5662e1eb498e3f71fb08c436
155;Nando's;Portuguese Restaurant;199-203 High St;GB;Beckenham;United Kingdom;;416;['199-203 High St', 'Beckenham', 'Greater London', 'BR3 1AH', 'United Kingdom'];[{'label': 'display', 'lat': 51.40669054997092, 'lng': -0.030801769696901973}];5.140.669.054.997.090;-0.030801769696901973;;BR3 1AH;Greater London;4ba25cebf964a52055f137e3
156;Tapeo;Tapas Restaurant;142 High St;GB;London;United Kingdom;;534;['142 High St', 'London', 'Greater London', 'BR3 1EA', 'United Kingdom'];[{'label': 'display', 'lat': 51.407163889702005, 'lng': -0.026437949368689907}];51.407.163.889.702.000;-0.026437949368689907;;BR3 1EA;Greater London;56d045b6cd10d6b769c13e7a
164;La Rascasse;French Restaurant;59-63 High St;GB;Beckenham;United Kingdom;;645;['59-63 High St', 'Beckenham', 'Greater London', 'BR3 1AW', 'United Kingdom'];[{'label': 'display', 'lat': 51.40792254703971, 'lng': -0.025351797615625764}];5.140.792.254.703.970;-0.025351797615625764;;BR3 1AW;Greater London;4bc38c0974a9a59322b4d4f6
166;Big Breakfast;Breakfast Spot;82 High St;GB;Beckenham;United Kingdom;;683;['82 High St', 'Beckenham', 'Greater London', 'BR3 1ED', 'United Kingdom'];[{'label': 'display', 'lat': 51.408281412768424, 'lng': -0.025252054059702038}];51.408.281.412.768.400;-0.025252054059702038;;BR3 1ED;Greater London;4bc465962a89ef3b8f30f688
169;Sicilian Art Pizzeria;Pizza Place;188 High St;GB;Penge;United Kingdom;;1609;['188 High St', 'Penge', 'Greater London', 'SE20 7QB', 'United Kingdom'];[{'label': 'display', 'lat': 51.41165, 'lng': -0.048732}];5.141.165;-0.048732;;SE20 7QB;Greater London;55744e7b498e0541455e8e93
173;Pierluigi's;Italian Restaurant;88-90 High St;GB;Beckenham;United Kingdom;;657;['88-90 High St', 'Beckenham', 'Greater London', 'BR3 1ED', 'United Kingdom'];[{'label': 'display', 'lat': 51.40803814293177, 'lng': -0.025344165195927176}];5.140.803.814.293.170;-0.025344165195927176;;BR3 1ED;Greater London;4b23d119f964a520565a24e3
174;Toby Carvery Eden Park;English Restaurant;422 Upper Elmers End Rd;GB;Beckenham;United Kingdom;at Monks Way;1463;['422 Upper Elmers End Rd (at Monks Way)', 'Beckenham', 'Greater London', 'BR3 3HQ', 'United Kingdom'];[{'label': 'display', 'lat': 51.38995015386145, 'lng': -0.027316615155133818}];5.138.995.015.386.140;-0.027316615155133818;;BR3 3HQ;Greater London;4bed36da91380f4728899f18
181;Mae Ping;Thai Restaurant;16 High St;GB;Beckenham;United Kingdom;;901;['16 High St', 'Beckenham', 'Greater London', 'BR3 1AY', 'United Kingdom'];[{'label': 'display', 'lat': 51.41036745167988, 'lng': -0.02492315045623744}];5.141.036.745.167.980;-0.02492315045623744;;BR3 1AY;Greater London;4bf2d72b6991c9b6779129e9
193;Domino's Pizza;Pizza Place;150 High St;GB;Penge;United Kingdom;;1945;['150 High St', 'Penge', 'Greater London', 'SE20 7EU', 'United Kingdom'];[{'label': 'display', 'lat': 51.414084, 'lng': -0.051824}];51.414.084;-0.051824;;SE20 7EU;Greater London;4dbdb14c43a1d8504bac2af8
194;Pizza Hut;Pizza Place;;GB;;United Kingdom;;2078;['United Kingdom'];[{'label': 'display', 'lat': 51.415169, 'lng': -0.052859}];51.415.169;-0.052859;;;;4d4dafd272eba1430dae4612
213;Pizza Express;Pizza Place;3 High St;GB;West Wickham;United Kingdom;;553;['3 High St', 'West Wickham', 'Greater London', 'BR4 0LP', 'United Kingdom'];[{'label': 'display', 'lat': 51.375804214861105, 'lng': -0.014908241162699782}];51.375.804.214.861.100;-0.014908241162699782;;BR4 0LP;Greater London;4c0a97dded259521702a1356
217;Toby Carvery Eden Park;English Restaurant;422 Upper Elmers End Rd;GB;Beckenham;United Kingdom;at Monks Way;2134;['422 Upper Elmers End Rd (at Monks Way)', 'Beckenham', 'Greater London', 'BR3 3HQ', 'United Kingdom'];[{'label': 'display', 'lat': 51.38995015386145, 'lng': -0.027316615155133818}];5.138.995.015.386.140;-0.027316615155133818;;BR3 3HQ;Greater London;4bed36da91380f4728899f18
225;Domino's Pizza;Pizza Place;27 High St;GB;Kent;United Kingdom;;626;['27 High St', 'Kent', 'BR4 0LP', 'United Kingdom'];[{'label': 'display', 'lat': 51.375931204363475, 'lng': -0.015952133525378633}];51.375.931.204.363.400;-0.015952133525378633;;BR4 0LP;Kent;4bd2ae32462cb713b6d8dc07
238;Ginger;Indian Restaurant;1-47 Station App;GB;Bromley;United Kingdom;;1251;['1-47 Station App', 'Bromley', 'Greater London', 'BR 2 7', 'United Kingdom'];[{'label': 'display', 'lat': 51.377003284889625, 'lng': 0.010918583562060408}];51.377.003.284.889.600;0.010918583562060408;;BR 2 7;Greater London;4cb35da939458cfac3e519a0
248;Nando's;Portuguese Restaurant;Unit 1A Nugent Shopping Park Cray Avenue;GB;Orpington;United Kingdom;;679;['Unit 1A Nugent Shopping Park Cray Avenue', 'Orpington', 'Greater London', 'BR5 3RP', 'United Kingdom'];[{'label': 'display', 'lat': 51.39346298288051, 'lng': 0.11221710486526172}];5.139.346.298.288.050;0.11221710486526172;;BR5 3RP;Greater London;4b9154bdf964a520bbb333e3
252;Indian Essence;Indian Restaurant;176-178 Petts Wood Rd.;GB;Kent;United Kingdom;;2011;['176-178 Petts Wood Rd.', 'Kent', 'BR5 1LG', 'United Kingdom'];[{'label': 'display', 'lat': 51.390319880128935, 'lng': 0.07540976471171684}];51.390.319.880.128.900;0.07540976471171684;;BR5 1LG;Kent;50ba65bde4b080f30086163f
254;PizzaExpress;Pizza Place;97 High St;GB;Orpington;United Kingdom;;1188;['97 High St', 'Orpington', 'Greater London', 'BR6 0LF', 'United Kingdom'];[{'label': 'display', 'lat': 51.37922623291019, 'lng': 0.10242654792171381}];5.137.922.623.291.010;0.10242654792171381;;BR6 0LF;Greater London;4cc2d0f89141370469dfb655
255;Cyprianis Bar And Grill;Mediterranean Restaurant;17 Station Sq;GB;London;United Kingdom;;2015;['17 Station Sq', 'Petts Wood', 'Greater London', 'BR5 1LY', 'United Kingdom'];[{'label': 'display', 'lat': 51.38949509270091, 'lng': 0.0753554076727259}];5.138.949.509.270.090;0.0753554076727259;Petts Wood and Knoll, London, Greater London;BR5 1LY;Greater London;5294e33111d216a90fbafb32
256;Reku Zen;Chinese Restaurant;;GB;;United Kingdom;;1143;['United Kingdom'];[{'label': 'display', 'lat': 51.379581725800534, 'lng': 0.10316108430867144}];51.379.581.725.800.500;0.10316108430867144;;;;4c766218db52b1f7e4357bdc
257;Xi'an;Chinese Restaurant;324 High St;GB;Orpington;United Kingdom;;1827;['324 High St', 'Orpington', 'Greater London', 'BR6 0NG', 'United Kingdom'];[{'label': 'display', 'lat': 51.37389975375316, 'lng': 0.09800124258616544}];5.137.389.975.375.310;0.09800124258616544;;BR6 0NG;Greater London;4c421a83e26920a11d8b5fe7
259;Osteria Da Fabrizio;Italian Restaurant;;GB;;United Kingdom;;1603;['United Kingdom'];[{'label': 'display', 'lat': 51.375789237102744, 'lng': 0.0991958332769815}];51.375.789.237.102.700;0.0991958332769815;;;;50796745e4b0ce42c63bd0be
