,Unnamed: 0,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,neighborhood,postalCode,state,id,Checkin TipCount,venue price,venue price index,venue rating
129,129,Toby Carvery,English Restaurant,155 Bromley Common,GB,Bromley,United Kingdom,,922,"['155 Bromley Common', 'Bromley', 'Greater London', 'BR2 9RJ', 'United Kingdom']","[{'label': 'display', 'lat': 51.389206783929396, 'lng': 0.035618312075020885}]",51.389206783929396,0.035618312075020885,,BR2 9RJ,Greater London,4d29f2f4c406721e30887fb6,8.0,,,5.5
133,133,Don Giovanni,Italian Restaurant,Homesdale road,GB,Bromley,United Kingdom,,1330,"['Homesdale road', 'Bromley', 'Greater London', 'United Kingdom']","[{'label': 'display', 'lat': 51.39891850599096, 'lng': 0.03197674558617957}]",51.39891850599096,0.03197674558617957,,,Greater London,4bc1ad0a2a89ef3b329ef288,0.0,Moderate,2.0,
134,134,Happy Garden,Chinese Restaurant,169 Homesdale Road,GB,Bromley,United Kingdom,,1335,"['169 Homesdale Road', 'Bromley', 'Greater London', 'BR1 2 QL', 'United Kingdom']","[{'label': 'display', 'lat': 51.39902492675866, 'lng': 0.031830217971152104}]",51.39902492675865,0.031830217971152104,,BR1 2 QL,Greater London,4ca130d73244b21a6a843903,2.0,Cheap,1.0,
135,135,Homesdale Tandoori,Indian Restaurant,28 Homesdale Rd.,GB,Bromley,United Kingdom,,1336,"['28 Homesdale Rd.', 'Bromley', 'Greater London', 'BR2 9LD', 'United Kingdom']","[{'label': 'display', 'lat': 51.39904921567902, 'lng': 0.031783879023293875}]",51.39904921567903,0.031783879023293875,,BR2 9LD,Greater London,4bc5590f5935c9b63fe1a5d2,2.0,Cheap,1.0,
137,137,Ginger,Indian Restaurant,1-47 Station App,GB,Bromley,United Kingdom,,1514,"['1-47 Station App', 'Bromley', 'Greater London', 'BR 2 7', 'United Kingdom']","[{'label': 'display', 'lat': 51.377003284889625, 'lng': 0.010918583562060408}]",51.377003284889625,0.010918583562060408,,BR 2 7,Greater London,4cb35da939458cfac3e519a0,4.0,Moderate,2.0,
141,141,Ristorante Pizzeria Sapore Vero,Italian Restaurant,78 High St,GB,Beckenham,United Kingdom,,684,"['78 High St', 'Beckenham', 'Greater London', 'BR3 1ED', 'United Kingdom']","[{'label': 'display', 'lat': 51.408287573314965, 'lng': -0.025250561443221246}]",51.40828757331497,-0.025250561443221246,,BR3 1ED,Greater London,50dc967ee4b0cc60e4d02c62,10.0,Moderate,2.0,8.4
143,143,Q Bar and Kitchen,Mediterranean Restaurant,159 High St,GB,Beckenham,United Kingdom,,406,"['159 High St', 'Beckenham', 'Greater London', 'BR3 1AE', 'United Kingdom']","[{'label': 'display', 'lat': 51.406523950791836, 'lng': -0.028859079120635674}]",51.40652395079184,-0.028859079120635674,,BR3 1AE,Greater London,535aba37498ec83eb551668b,3.0,Moderate,2.0,7.7
147,147,Kebab Ye,Fast Food Restaurant,294 High St,GB,Beckenham,United Kingdom,,435,"['294 High St', 'Beckenham', 'Greater London', 'BR3 1DY', 'United Kingdom']","[{'label': 'display', 'lat': 51.40681083122236, 'lng': -0.031375910179095905}]",51.406810831222366,-0.031375910179095905,,BR3 1DY,Greater London,4ed8cce277c8274efb21ebfe,2.0,Cheap,1.0,7.5
148,148,Wild Mango,Indian Restaurant,243 High St,GB,Beckenham,United Kingdom,,441,"['243 High St', 'Beckenham', 'Greater London', 'BR3 1BN', 'United Kingdom']","[{'label': 'display', 'lat': 51.40678220171422, 'lng': -0.03197193145751953}]",51.40678220171422,-0.03197193145751953,,BR3 1BN,Greater London,52680360498ec692ed07103d,2.0,Moderate,2.0,7.4
150,150,Hisar Meze Bar,Mediterranean Restaurant,251 High St,GB,Beckenham,United Kingdom,,456,"['251 High St', 'Beckenham', 'Greater London', 'BR3 1BN', 'United Kingdom']","[{'label': 'display', 'lat': 51.40688596097687, 'lng': -0.03217159505236191}]",51.406885960976865,-0.03217159505236191,,BR3 1BN,Greater London,522325f6498eba5720a4da4f,2.0,Moderate,2.0,7.3
153,153,Chai Naasto,Indian Restaurant,Fairfield Rd,GB,Beckenham,United Kingdom,,531,"['Fairfield Rd', 'Beckenham', 'Greater London', 'BR3 3LD', 'United Kingdom']","[{'label': 'display', 'lat': 51.407298, 'lng': -0.02696}]",51.407298,-0.02696,,BR3 3LD,Greater London,5662e1eb498e3f71fb08c436,7.0,Moderate,2.0,7.3
155,155,Nando's,Portuguese Restaurant,199-203 High St,GB,Beckenham,United Kingdom,,416,"['199-203 High St', 'Beckenham', 'Greater London', 'BR3 1AH', 'United Kingdom']","[{'label': 'display', 'lat': 51.40669054997092, 'lng': -0.030801769696901973}]",51.406690549970925,-0.030801769696901973,,BR3 1AH,Greater London,4ba25cebf964a52055f137e3,10.0,Moderate,2.0,7.2
156,156,Tapeo,Tapas Restaurant,142 High St,GB,London,United Kingdom,,534,"['142 High St', 'London', 'Greater London', 'BR3 1EA', 'United Kingdom']","[{'label': 'display', 'lat': 51.407163889702005, 'lng': -0.026437949368689907}]",51.407163889702005,-0.02643794936868991,,BR3 1EA,Greater London,56d045b6cd10d6b769c13e7a,2.0,Expensive,3.0,7.2
164,164,La Rascasse,French Restaurant,59-63 High St,GB,Beckenham,United Kingdom,,645,"['59-63 High St', 'Beckenham', 'Greater London', 'BR3 1AW', 'United Kingdom']","[{'label': 'display', 'lat': 51.40792254703971, 'lng': -0.025351797615625764}]",51.40792254703971,-0.02535179761562576,,BR3 1AW,Greater London,4bc38c0974a9a59322b4d4f6,7.0,Expensive,3.0,7.0
173,173,Pierluigi's,Italian Restaurant,88-90 High St,GB,Beckenham,United Kingdom,,657,"['88-90 High St', 'Beckenham', 'Greater London', 'BR3 1ED', 'United Kingdom']","[{'label': 'display', 'lat': 51.40803814293177, 'lng': -0.025344165195927176}]",51.40803814293177,-0.025344165195927176,,BR3 1ED,Greater London,4b23d119f964a520565a24e3,7.0,Moderate,2.0,6.7
174,174,Toby Carvery Eden Park,English Restaurant,422 Upper Elmers End Rd,GB,Beckenham,United Kingdom,at Monks Way,1463,"['422 Upper Elmers End Rd (at Monks Way)', 'Beckenham', 'Greater London', 'BR3 3HQ', 'United Kingdom']","[{'label': 'display', 'lat': 51.38995015386145, 'lng': -0.027316615155133818}]",51.389950153861456,-0.027316615155133814,,BR3 3HQ,Greater London,4bed36da91380f4728899f18,5.0,,,7.1
181,181,Mae Ping,Thai Restaurant,16 High St,GB,Beckenham,United Kingdom,,901,"['16 High St', 'Beckenham', 'Greater London', 'BR3 1AY', 'United Kingdom']","[{'label': 'display', 'lat': 51.41036745167988, 'lng': -0.02492315045623744}]",51.410367451679875,-0.024923150456237442,,BR3 1AY,Greater London,4bf2d72b6991c9b6779129e9,7.0,Moderate,2.0,6.5
197,197,KFC,Fast Food Restaurant,"1 Coleman House, High St",GB,Penge,United Kingdom,,2041,"['1 Coleman House, High St', 'Penge', 'Greater London', 'SE20 7EX', 'United Kingdom']","[{'label': 'display', 'lat': 51.41487857786659, 'lng': -0.05256750974858987}]",51.414878577866595,-0.05256750974858987,,SE20 7EX,Greater London,4c44e969f799e21ebb88aea2,2.0,Cheap,1.0,6.0
203,203,McDonald's,Fast Food Restaurant,130 High St,GB,Penge,United Kingdom,,2065,"['130 High St', 'Penge', 'Greater London', 'SE20 7EZ', 'United Kingdom']","[{'label': 'display', 'lat': 51.41503220615511, 'lng': -0.05280553551539338}]",51.41503220615511,-0.05280553551539338,,SE20 7EZ,Greater London,4b88dec2f964a5204d1132e3,4.0,Cheap,1.0,5.7
217,217,Toby Carvery Eden Park,English Restaurant,422 Upper Elmers End Rd,GB,Beckenham,United Kingdom,at Monks Way,2134,"['422 Upper Elmers End Rd (at Monks Way)', 'Beckenham', 'Greater London', 'BR3 3HQ', 'United Kingdom']","[{'label': 'display', 'lat': 51.38995015386145, 'lng': -0.027316615155133818}]",51.389950153861456,-0.027316615155133814,,BR3 3HQ,Greater London,4bed36da91380f4728899f18,5.0,,,7.1
228,228,KFC,Fast Food Restaurant,206 High St,GB,West Wickham,United Kingdom,,1020,"['206 High St', 'West Wickham', 'Greater London', 'BR4 0LZ', 'United Kingdom']","[{'label': 'display', 'lat': 51.377328, 'lng': -0.021364}]",51.377328000000006,-0.021363999999999998,,BR4 0LZ,Greater London,4d14be4ccc216ea89c4b5ed3,2.0,Cheap,1.0,5.9
235,235,McDonald's,Fast Food Restaurant,518-522 Wickham Rd,GB,Shirley,United Kingdom,,1939,"['518-522 Wickham Rd', 'Shirley', 'Greater London', 'CR0 8AD', 'United Kingdom']","[{'label': 'display', 'lat': 51.37666050619978, 'lng': -0.0348081076591115}]",51.37666050619978,-0.0348081076591115,,CR0 8AD,Greater London,4c08b3cdf23f9521cd7c9628,2.0,Cheap,1.0,6.0
238,238,Ginger,Indian Restaurant,1-47 Station App,GB,Bromley,United Kingdom,,1251,"['1-47 Station App', 'Bromley', 'Greater London', 'BR 2 7', 'United Kingdom']","[{'label': 'display', 'lat': 51.377003284889625, 'lng': 0.010918583562060408}]",51.377003284889625,0.010918583562060408,,BR 2 7,Greater London,4cb35da939458cfac3e519a0,4.0,Moderate,2.0,
248,248,Nando's,Portuguese Restaurant,Unit 1A Nugent Shopping Park Cray Avenue,GB,Orpington,United Kingdom,,679,"['Unit 1A Nugent Shopping Park Cray Avenue', 'Orpington', 'Greater London', 'BR5 3RP', 'United Kingdom']","[{'label': 'display', 'lat': 51.39346298288051, 'lng': 0.11221710486526172}]",51.39346298288051,0.11221710486526172,,BR5 3RP,Greater London,4b9154bdf964a520bbb333e3,7.0,Moderate,2.0,7.1
252,252,Indian Essence,Indian Restaurant,176-178 Petts Wood Rd.,GB,Kent,United Kingdom,,2011,"['176-178 Petts Wood Rd.', 'Kent', 'BR5 1LG', 'United Kingdom']","[{'label': 'display', 'lat': 51.390319880128935, 'lng': 0.07540976471171684}]",51.390319880128935,0.07540976471171684,,BR5 1LG,Kent,50ba65bde4b080f30086163f,5.0,Moderate,2.0,7.8
255,255,Cyprianis Bar And Grill,Mediterranean Restaurant,17 Station Sq,GB,London,United Kingdom,,2015,"['17 Station Sq', 'Petts Wood', 'Greater London', 'BR5 1LY', 'United Kingdom']","[{'label': 'display', 'lat': 51.38949509270091, 'lng': 0.0753554076727259}]",51.38949509270091,0.0753554076727259,"Petts Wood and Knoll, London, Greater London",BR5 1LY,Greater London,5294e33111d216a90fbafb32,4.0,Moderate,2.0,7.5
256,256,Reku Zen,Chinese Restaurant,,GB,,United Kingdom,,1143,['United Kingdom'],"[{'label': 'display', 'lat': 51.379581725800534, 'lng': 0.10316108430867144}]",51.379581725800534,0.10316108430867144,,,,4c766218db52b1f7e4357bdc,2.0,Cheap,1.0,6.8
257,257,Xi'an,Chinese Restaurant,324 High St,GB,Orpington,United Kingdom,,1827,"['324 High St', 'Orpington', 'Greater London', 'BR6 0NG', 'United Kingdom']","[{'label': 'display', 'lat': 51.37389975375316, 'lng': 0.09800124258616544}]",51.37389975375316,0.09800124258616544,,BR6 0NG,Greater London,4c421a83e26920a11d8b5fe7,3.0,Cheap,1.0,7.1
259,259,Osteria Da Fabrizio,Italian Restaurant,,GB,,United Kingdom,,1603,['United Kingdom'],"[{'label': 'display', 'lat': 51.375789237102744, 'lng': 0.0991958332769815}]",51.37578923710274,0.0991958332769815,,,,50796745e4b0ce42c63bd0be,5.0,Moderate,2.0,7.0
261,261,Rising Sun,Sushi Restaurant,1 Rice Parade,GB,Orpington,United Kingdom,Fairway,1966,"['1 Rice Parade (Fairway)', 'Orpington', 'Greater London', 'BR5 1EQ', 'United Kingdom']","[{'label': 'display', 'lat': 51.388643578273786, 'lng': 0.07611572742462158}]",51.388643578273786,0.07611572742462157,Petts Wood,BR5 1EQ,Greater London,4d1cca39c68aa1cdebb0a5e2,4.0,Moderate,2.0,7.0
262,262,Fiesta Mexicana,Mexican Restaurant,,GB,,United Kingdom,,1198,['United Kingdom'],"[{'label': 'display', 'lat': 51.379134358653005, 'lng': 0.10233840076970038}]",51.37913435865301,0.10233840076970037,,,,4bf84c5d5ec320a1328888d3,3.0,Cheap,1.0,6.6
263,263,The Rib Shack Bar And Grill,American Restaurant,5 Station Sq,GB,London,United Kingdom,,2013,"['5 Station Sq', 'Petts Wood', 'Greater London', 'BR5 1LY', 'United Kingdom']","[{'label': 'display', 'lat': 51.389956191350485, 'lng': 0.07537949517415779}]",51.389956191350485,0.07537949517415779,,BR5 1LY,Greater London,51291469e4b0f4c984ef2e32,2.0,Moderate,2.0,6.9
264,264,Thai Moom,Thai Restaurant,"131, Queensway Petts Wood",GB,Bromley,United Kingdom,,2311,"['131, Queensway Petts Wood', 'Bromley', 'Greater London', 'BR5 1DG', 'United Kingdom']","[{'label': 'display', 'lat': 51.38987176492203, 'lng': 0.0710905460661748}]",51.38987176492203,0.0710905460661748,,BR5 1DG,Greater London,4dd11fe0183899ddfb143af9,2.0,Moderate,2.0,7.0
269,269,Pato Lounge,Restaurant,202-206 High St,GB,Orpington,United Kingdom,,1459,"['202-206 High St', 'Orpington', 'Greater London', 'BR6 0JN', 'United Kingdom']","[{'label': 'display', 'lat': 51.3770085608021, 'lng': 0.0999937959360211}]",51.377008560802096,0.0999937959360211,,BR6 0JN,Greater London,55ce16bb498e503baeacebc8,5.0,Moderate,2.0,6.4
272,272,Bella Italia,Italian Restaurant,"The Walnuts,Unit 40B",GB,Orpington,United Kingdom,,1490,"['The Walnuts,Unit 40B', 'Orpington', 'Greater London', 'BR6 0TW', 'United Kingdom']","[{'label': 'display', 'lat': 51.37658109673129, 'lng': 0.10127717206620397}]",51.37658109673129,0.10127717206620396,,BR6 0TW,Greater London,56d04210cd1060338d0c5f47,1.0,Moderate,2.0,6.2
275,275,KFC,Fast Food Restaurant,172 High St.,GB,Orpington,United Kingdom,,1359,"['172 High St.', 'Orpington', 'Greater London', 'BR6 0JW', 'United Kingdom']","[{'label': 'display', 'lat': 51.37776354216559, 'lng': 0.10138010008675348}]",51.377763542165596,0.10138010008675348,,BR6 0JW,Greater London,4c54e0d4b426ef3b3d19988a,0.0,Cheap,1.0,6.0
282,282,Uskudar Turkish Restaurant,Turkish Restaurant,61 Queensway,GB,London,United Kingdom,,2141,"['61 Queensway', 'Petts Wood', 'Greater London', 'BR5 1DQ', 'United Kingdom']","[{'label': 'display', 'lat': 51.38792841426172, 'lng': 0.07368967451720333}]",51.38792841426172,0.07368967451720332,,BR5 1DQ,Greater London,4d0536f037036dcbed5e15fb,4.0,Moderate,2.0,6.2
288,288,McDonald's,Fast Food Restaurant,291-293 High St,GB,Orpington,United Kingdom,,1784,"['291-293 High St', 'Orpington', 'Greater London', 'BR6 0NN', 'United Kingdom']","[{'label': 'display', 'lat': 51.3742554801003, 'lng': 0.09824873256729473}]",51.374255480100295,0.09824873256729473,,BR6 0NN,Greater London,4c0b5dbf6071a5937534e132,3.0,Cheap,1.0,5.8
294,294,Burger King,Fast Food Restaurant,228 High St,GB,Orpington,United Kingdom,,1535,"['228 High St', 'Orpington', 'Greater London', 'BR6 0LS', 'United Kingdom']","[{'label': 'display', 'lat': 51.376362272006624, 'lng': 0.09959158519734523}]",51.37636227200662,0.09959158519734523,,BR6 0LS,Greater London,4cdd6bff14119eb0393bed33,1.0,Cheap,1.0,5.5
297,297,Desperados,Mexican Restaurant,6 Station Square,GB,Petts Wood,United Kingdom,,2044,"['6 Station Square', 'Petts Wood', 'United Kingdom']","[{'label': 'display', 'lat': 51.389903, 'lng': 0.074922}]",51.389903000000004,0.074922,,,,4ca4e272d971b1f7e6bef1e0,2.0,Moderate,2.0,
311,311,Xi'an,Chinese Restaurant,324 High St,GB,Orpington,United Kingdom,,966,"['324 High St', 'Orpington', 'Greater London', 'BR6 0NG', 'United Kingdom']","[{'label': 'display', 'lat': 51.37389975375316, 'lng': 0.09800124258616544}]",51.37389975375316,0.09800124258616544,,BR6 0NG,Greater London,4c421a83e26920a11d8b5fe7,3.0,Cheap,1.0,7.1
312,312,Osteria Da Fabrizio,Italian Restaurant,,GB,,United Kingdom,,1192,['United Kingdom'],"[{'label': 'display', 'lat': 51.375789237102744, 'lng': 0.0991958332769815}]",51.37578923710274,0.0991958332769815,,,,50796745e4b0ce42c63bd0be,5.0,Moderate,2.0,7.0
317,317,Reku Zen,Chinese Restaurant,,GB,,United Kingdom,,1688,['United Kingdom'],"[{'label': 'display', 'lat': 51.379581725800534, 'lng': 0.10316108430867144}]",51.379581725800534,0.10316108430867144,,,,4c766218db52b1f7e4357bdc,2.0,Cheap,1.0,6.8
318,318,Fiesta Mexicana,Mexican Restaurant,,GB,,United Kingdom,,1619,['United Kingdom'],"[{'label': 'display', 'lat': 51.379134358653005, 'lng': 0.10233840076970038}]",51.37913435865301,0.10233840076970037,,,,4bf84c5d5ec320a1328888d3,3.0,Cheap,1.0,6.6
319,319,Pato Lounge,Restaurant,202-206 High St,GB,Orpington,United Kingdom,,1339,"['202-206 High St', 'Orpington', 'Greater London', 'BR6 0JN', 'United Kingdom']","[{'label': 'display', 'lat': 51.3770085608021, 'lng': 0.0999937959360211}]",51.377008560802096,0.0999937959360211,,BR6 0JN,Greater London,55ce16bb498e503baeacebc8,5.0,Moderate,2.0,6.4
322,322,Bella Italia,Italian Restaurant,"The Walnuts,Unit 40B",GB,Orpington,United Kingdom,,1329,"['The Walnuts,Unit 40B', 'Orpington', 'Greater London', 'BR6 0TW', 'United Kingdom']","[{'label': 'display', 'lat': 51.37658109673129, 'lng': 0.10127717206620397}]",51.37658109673129,0.10127717206620396,,BR6 0TW,Greater London,56d04210cd1060338d0c5f47,1.0,Moderate,2.0,6.2
326,326,KFC,Fast Food Restaurant,172 High St.,GB,Orpington,United Kingdom,,1453,"['172 High St.', 'Orpington', 'Greater London', 'BR6 0JW', 'United Kingdom']","[{'label': 'display', 'lat': 51.37776354216559, 'lng': 0.10138010008675348}]",51.377763542165596,0.10138010008675348,,BR6 0JW,Greater London,4c54e0d4b426ef3b3d19988a,0.0,Cheap,1.0,6.0
329,329,Frankie & Benny's,American Restaurant,"Unit 2A, Farnborough Way",GB,Kent,United Kingdom,,1477,"['Unit 2A, Farnborough Way', 'Kent', 'BR6 7DH', 'United Kingdom']","[{'label': 'display', 'lat': 51.36179, 'lng': 0.072911}]",51.36179,0.072911,,BR6 7DH,Kent,4b6433f5f964a520e1a32ae3,8.0,Moderate,2.0,6.0
330,330,McDonald's,Fast Food Restaurant,291-293 High St,GB,Orpington,United Kingdom,,1009,"['291-293 High St', 'Orpington', 'Greater London', 'BR6 0NN', 'United Kingdom']","[{'label': 'display', 'lat': 51.3742554801003, 'lng': 0.09824873256729473}]",51.374255480100295,0.09824873256729473,,BR6 0NN,Greater London,4c0b5dbf6071a5937534e132,3.0,Cheap,1.0,5.8
338,338,Burger King,Fast Food Restaurant,228 High St,GB,Orpington,United Kingdom,,1262,"['228 High St', 'Orpington', 'Greater London', 'BR6 0LS', 'United Kingdom']","[{'label': 'display', 'lat': 51.376362272006624, 'lng': 0.09959158519734523}]",51.37636227200662,0.09959158519734523,,BR6 0LS,Greater London,4cdd6bff14119eb0393bed33,1.0,Cheap,1.0,5.5
340,340,Windsor Fish Bar,Fast Food Restaurant,,GB,,United Kingdom,,1326,['United Kingdom'],"[{'label': 'display', 'lat': 51.35634208586648, 'lng': 0.10491407556523781}]",51.35634208586648,0.1049140755652378,,,,4bcf3ec6b221c9b613a6d1d0,1.0,Cheap,1.0,
